timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738606399219,36,https://gitgithub.andreregino.com.br/,200,OK,Thread Group 1-1,text,true,,24279,508,1,1,https://gitgithub.andreregino.com.br/,30,0,23
1738606399552,50,https://gitgithub.andreregino.com.br/,200,OK,Thread Group 1-2,text,true,,24279,508,2,2,https://gitgithub.andreregino.com.br/,41,0,27
1738606399883,41,https://gitgithub.andreregino.com.br/,200,OK,Thread Group 1-3,text,true,,24279,508,3,3,https://gitgithub.andreregino.com.br/,33,0,23
1738606401348,431,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701,200,OK,Thread Group 1-1,text,true,,282175,1414,3,3,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,380,0,18
1738606401348,380,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-0,307,Temporary Redirect,Thread Group 1-1,,true,,570,710,3,3,https://payment.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0%3D.1738605778701&checkoutMode=10,380,0,18
1738606401729,50,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-1,200,OK,Thread Group 1-1,text,true,,281605,704,3,3,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,27,0,18
1738606399217,467,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,306454,1922,3,3,null,410,2095,41
1738606401696,426,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701,200,OK,Thread Group 1-2,text,true,,282175,1414,2,2,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,378,0,20
1738606401696,378,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-0,307,Temporary Redirect,Thread Group 1-2,,true,,570,710,2,2,https://payment.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0%3D.1738605778701&checkoutMode=10,378,0,20
1738606402075,47,https://payment.hotmart.com/R54638781B?checkoutMode=10&_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701-1,200,OK,Thread Group 1-2,text,true,,281605,704,2,2,https://pay.hotmart.com/R54638781B?_hi=eyJjaWQiOiIxNzM4NjAyMjE1NTAzNzU3MzQ4Mzc1NzY3Mjk2ODAwIiwiYmlkIjoiMTczODYwMjIxNTUwMzc1NzM0ODM3NTc2NzI5NjgwMCIsInNpZCI6Ijc5ZjUxNzk2OTk1YjQ1ZjZhYmZmZWRiYjZjYjA0YzNhIn0=.1738605778701&checkoutMode=10,25,0,14
